City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,kailua-kona,19.6406,-155.9956,30.84,72,20,4.63,US,1696110878
128,ilheus,-14.7889,-39.0494,24.9,83,40,4.63,BR,1696110878
129,shawnee,39.05,-95.7669,34.25,38,0,8.75,US,1696110806
130,ust-nera,64.5667,143.2,-2.79,63,11,2.31,RU,1696110879
131,merizo village,13.2658,144.6691,27.99,91,97,2.83,GU,1696110879
132,chui,-33.6971,-53.4616,9.85,81,0,3.09,UY,1696110880
133,urangan,-25.3,152.9,21.4,61,0,3.25,AU,1696110880
134,mokshan,53.4365,44.6132,13.54,77,64,3.71,RU,1696110881
135,heihe,50.2441,127.4902,8.32,75,99,2.93,CN,1696110881
136,kidal,18.4411,1.4078,32.51,24,40,4.62,ML,1696110881
137,malango,-2.9627,119.9001,17.62,98,37,0.78,ID,1696110882
138,uturoa,-16.7333,-151.4333,25.96,80,14,8.72,PF,1696110882
139,la passe,45.5549,-0.8967,19.13,71,3,3.41,FR,1696110883
140,kaa-khem,51.6833,94.7333,8.74,55,100,1.63,RU,1696110883
141,dudinka,69.4058,86.1778,-6.32,90,6,4.69,RU,1696110883
142,novo cruzeiro,-17.4681,-41.8753,20.27,74,29,2.83,BR,1696110884
143,haiku-pauwela,20.9219,-156.3051,30.01,55,20,10.8,US,1696110884
144,badger,64.8,-147.5333,8.96,50,0,5.14,US,1696110885
145,galveston,29.3669,-94.9669,33.94,61,0,6.69,US,1696110885
146,ar rastan,34.9265,36.7324,21.47,76,99,7.19,SY,1696110886
147,taltal,-25.4,-70.4833,18.22,68,24,3.1,CL,1696110886
148,hasaki,35.7333,140.8333,26.27,82,86,8.59,JP,1696110886
149,tadine,-21.55,167.8833,21.87,58,24,8.14,NC,1696110887
150,hermanus,-34.4187,19.2345,13.16,67,7,1.08,ZA,1696110887
151,springs,-26.25,28.4,22.4,30,0,5.73,ZA,1696110888
152,sharkawshchyna,55.3713,27.4706,9.8,95,62,4.15,BY,1696110888
153,rikaze,29.25,88.8833,10.95,56,98,1.54,CN,1696110889
154,wucheng,29.6008,118.175,20.34,93,99,1.36,CN,1696110889
